#V																			     
         -0.03987099          1.00034000          1.00034000              -0.03986800          1.00000000          0.00034000	-0.039868   1.00034   0.00069
         -0.03767099          1.00015000          1.00015000              -0.03766800          1.00000000          0.00015000	-0.037668   1.00015   0.00017
         -0.03557699          0.99930000          0.99930000              -0.03557400          1.00000000         -0.00070000	-0.035574   0.99930   0.00051
         -0.03338299          0.99979000          0.99979000              -0.03338000          1.00000000         -0.00021000	-0.033380   0.99979   0.00047
         -0.03127599          0.99960000          0.99960000              -0.03127300          1.00000000         -0.00040000	-0.031273   0.99960   0.00039
         -0.02906199          0.99946000          0.99946000              -0.02905900          1.00000000         -0.00054000	-0.029059   0.99946   0.00069
         -0.02703199          0.99909000          0.99909000              -0.02702900          0.99925478         -0.00016478	-0.027029   0.99909   0.00031
         -0.02482099          0.99708000          0.99708000              -0.02481800          0.99727866         -0.00019866	-0.024818   0.99708   0.00068
         -0.02268999          0.99452000          0.99452000              -0.02268700          0.99476559         -0.00024559	-0.022687   0.99452   0.00070
         -0.02057199          0.99187000          0.99187000              -0.02056900          0.99195604         -0.00008604	-0.020569   0.99187   0.00036
         -0.01846499          0.98906000          0.98906000              -0.01846200          0.98906043         -0.00000043	-0.018462   0.98906   0.00065
         -0.01627799          0.98550000          0.98550000              -0.01627500          0.98612768         -0.00062768	-0.016275   0.98550   0.00044
         -0.01403999          0.98348000          0.98348000              -0.01403700          0.98335673          0.00012327	-0.014037   0.98348   0.00091
         -0.01173599          0.98149000          0.98149000              -0.01173300          0.98087175          0.00061825	-0.011733   0.98149   0.00111
         -0.00948499          0.97912000          0.97912000              -0.00948200          0.97888324          0.00023676	-0.009482   0.97912   0.00061
         -0.00733999          0.97753000          0.97753000              -0.00733700          0.97742407          0.00010593	-0.007337   0.97753   0.00041
         -0.00541099          0.97660000          0.97660000              -0.00540800          0.97647176          0.00012824	-0.005408   0.97660   0.00055
         -0.00379699          0.97612000          0.97612000              -0.00379400          0.97592131          0.00019869	-0.003794   0.97612   0.00045
         -0.00199699          0.97561000          0.97561000              -0.00199400          0.97554976          0.00006024	-0.001994   0.97561   0.00010
         -0.00037099          0.97531000          0.97531000              -0.00036800          0.97541622         -0.00010622	-0.000368   0.97531   0.00064
          0.00130901          0.97492000          0.97492000               0.00131200          0.97547062         -0.00055062	 0.001312   0.97492   0.00091
          0.00300501          0.97572000          0.97572000               0.00300800          0.97572769         -0.00000769	 0.003008   0.97572   0.00061
          0.00462901          0.97595000          0.97595000               0.00463200          0.97617819         -0.00022819	 0.004632   0.97595   0.00130
          0.00637501          0.97701000          0.97701000               0.00637800          0.97690615          0.00010385	 0.006378   0.97701   0.00094
          0.00826601          0.97859000          0.97859000               0.00826900          0.97800143          0.00058857	 0.008269   0.97859   0.00046
          0.01006801          0.97936000          0.97936000               0.01007100          0.97935393          0.00000607	 0.010071   0.97936   0.00107
          0.01164001          0.97994000          0.97994000               0.01164300          0.98077769         -0.00083769	 0.011643   0.97994   0.00097
          0.01335801          0.98229000          0.98229000               0.01336100          0.98257774         -0.00028774	 0.013361   0.98229   0.00071
          0.01517001          0.98466000          0.98466000               0.01517300          0.98471847         -0.00005847	 0.015173   0.98466   0.00054
          0.01670001          0.98734000          0.98734000               0.01670300          0.98668046          0.00065954	 0.016703   0.98734   0.00083
          0.01849401          0.98979000          0.98979000               0.01849700          0.98910019          0.00068981	 0.018497   0.98979   0.00099
          0.02002001          0.99158000          0.99158000               0.02002300          0.99119973          0.00038027	 0.020023   0.99158   0.00031
          0.02178001          0.99266000          0.99266000               0.02178300          0.99358324         -0.00092324	 0.021783   0.99266   0.00099
          0.02337101          0.99468000          0.99468000               0.02337400          0.99561444         -0.00093444	 0.023374   0.99468   0.00058
          0.02507701          0.99739000          0.99739000               0.02508000          0.99754725         -0.00015725	 0.025080   0.99739   0.00046
          0.02682701          0.99999000          0.99999000               0.02683000          0.99910954          0.00088046	 0.026830   0.99999   0.00086
