################################# NEW ################################################
#mjd#       #iA      #iB      #mjd#       #rA      #rB      #mjd#       #vA      #vB    
???????????	???????????	???????????	55088.29	16.56	18.46	???????????	???????????	???????????
55090.33	16.37	18.05	???????????	???????????	???????????	55090.31	16.89	18.95
55090.33	16.35	18.05	???????????	???????????	???????????	???????????	???????????	???????????
???????????	???????????	???????????	???????????	???????????	???????????	55092.30	16.86	18.97
???????????	???????????	???????????	???????????	???????????	???????????	55092.31	16.88	18.94
???????????	???????????	???????????	???????????	???????????	???????????	55092.31	16.85	18.97
								
								
???????????	???????????	???????????	???????????	???????????	???????????	55359.41	16.81	18.99
???????????	???????????	???????????	???????????	???????????	???????????	55362.41	16.82	18.93
???????????	???????????	???????????	???????????	???????????	???????????	55362.41	16.82	18.96
???????????	???????????	???????????	55364.43	16.57	18.46	???????????	???????????	???????????
???????????	???????????	???????????	55378.40	16.51	18.47	55386.40	16.83	18.96
???????????	???????????	???????????	???????????	???????????	???????????	55386.40	16.86	18.95
???????????	???????????	???????????	???????????	???????????	???????????	55386.40	16.83	18.97
???????????	???????????	???????????	55388.38	16.55	18.48	???????????	???????????	???????????
???????????	???????????	???????????	55388.38	16.55	18.47	???????????	???????????	???????????
???????????	???????????	???????????	55388.39	16.56	18.48	???????????	???????????	???????????
???????????	???????????	???????????	55388.39	16.51	18.47	???????????	???????????	???????????
???????????	???????????	???????????	55388.39	16.52	18.47	???????????	???????????	???????????
???????????	???????????	???????????	55388.40	16.50	18.45	???????????	???????????	???????????
???????????	???????????	???????????	55390.38	16.54	18.46	55390.38	16.84	18.90
???????????	???????????	???????????	55390.38	16.54	18.49	55390.38	16.83	18.93
???????????	???????????	???????????	55390.39	16.54	18.48	???????????	???????????	???????????
???????????	???????????	???????????	55392.36	16.55	18.46	55392.37	16.85	18.95
???????????	???????????	???????????	55392.36	16.55	18.46	55392.37	16.84	18.93
???????????	???????????	???????????	55392.37	16.56	18.45	???????????	???????????	???????????
???????????	???????????	???????????	55399.41	16.55	18.48	55399.43	16.84	18.96
???????????	???????????	???????????	???????????	???????????	???????????	55400.40	16.84	18.95
???????????	???????????	???????????	???????????	???????????	???????????	55400.41	16.83	18.97
???????????	???????????	???????????	55401.40	16.53	18.45	???????????	???????????	???????????


??????????????    ???????????    ???????????    55737.39    16.47    18.47    55737.39    16.76    18.96
??????????????    ???????????    ???????????    55737.40    16.51    18.55    55737.39    16.78    19.06
??????????????    ???????????    ???????????    ??????????????    ???????????    ???????????    55739.43    16.82    19.06
??????????????    ???????????    ???????????    ??????????????    ???????????    ???????????    55739.44    16.81    19.00
??????????????    ???????????    ???????????    ??????????????    ???????????    ???????????    55739.44    16.81    19.04
??????????????    ???????????    ???????????    ??????????????    ???????????    ???????????    55743.41    16.83    19.07
??????????????    ???????????    ???????????    ??????????????    ???????????    ???????????    55743.42    16.86    19.06
??????????????    ???????????    ???????????    ??????????????    ???????????    ???????????    55743.42    16.86    19.04
??????????????    ???????????    ???????????    55765.42    16.51    18.52    55765.38    16.78    19.03
??????????????    ???????????    ???????????    55766.38    16.52    18.54    55766.39    16.82    19.02
??????????????    ???????????    ???????????    55766.38    16.51    18.48    55766.40    16.81    19.02
??????????????    ???????????    ???????????    55766.39    16.49    18.56    55766.40    16.81    19.02
??????????????    ???????????    ???????????    55767.38    16.50    18.54    55767.37    16.79    18.96
??????????????    ???????????    ???????????    55767.39    16.52    18.56    55767.37    16.79    18.99
??????????????    ???????????    ???????????    55767.39    16.51    18.52    55767.38    16.80    19.01
??????????????    ???????????    ???????????    55776.38    16.51    18.54    55776.37    16.82    18.96
??????????????    ???????????    ???????????    55776.39    16.52    18.51    55776.38    16.81    19.01
??????????????    ???????????    ???????????    55776.39    16.54    18.52    55776.39    16.82    19.02
??????????????    ???????????    ???????????    55795.37    16.44    18.46    55795.36    16.76    18.99
??????????????    ???????????    ???????????    55795.37    16.45    18.46    55795.36    16.76    18.96
??????????????    ???????????    ???????????    55795.37    16.44    18.45    55795.36    16.76    18.95
55803.29    16.27    18.00    55803.32    16.54    18.51    55803.25    16.80    18.96
55803.30    16.29    18.07    55803.34    16.54    18.45    55803.26    16.79    18.97
55803.30    16.30    18.07    55803.34    16.52    18.49    55803.26    16.79    18.97
55803.30    16.29    18.08    55803.35    16.53    18.46    55803.26    16.77    18.96
55803.31    16.27    18.07    ??????????????    ???????????    ???????????    55803.27    16.79    19.00
55803.31    16.28    18.04    ??????????????    ???????????    ???????????    55803.27    16.78    18.98
55803.31    16.29    18.09    ??????????????    ???????????    ???????????    55803.27    16.78    18.98
55803.32    16.29    18.06    ??????????????    ???????????    ???????????    55803.28    16.77    18.96
55803.32    16.28    18.03    ??????????????    ???????????    ???????????    55803.28    16.78    18.98


################################# TOT ################################################
#mjd#       #iA      #        #mjd#       #rA      #        #mjd#       #vA      #
????????    ?????    ?????    54660.37    16.35    ?????    54660.37    16.67    ???????????
????????    ?????    ?????    54660.38    16.35    ?????    54660.38    16.66    ???????????
????????    ?????    ?????    54660.39    16.35    ?????    54660.39    16.66    ???????????
????????    ?????    ?????    54674.35    16.34    ?????    54674.34    16.65    ???????????
????????    ?????    ?????    ????????    ?????    ?????    54674.35    16.69    ???????????
????????    ?????    ?????    ????????    ?????    ?????    54674.35    16.66    ???????????
54675.39    16.02    ?????    54675.37    16.34    ?????    ????????    ?????    ???????????
54675.39    16.04    ?????    ????????    ?????    ?????    ????????    ?????    ???????????
54675.39    16.04    ?????    ????????    ?????    ?????    ????????    ?????    ???????????
54677.38    16.12    ?????    ????????    ?????    ?????    54677.37    16.65    ???????????
54677.39    16.12    ?????    ????????    ?????    ?????    54677.38    16.64    ???????????
54677.39    16.12    ?????    ????????    ?????    ?????    54677.38    16.66    ???????????
54681.37    16.10    ?????    54681.35    16.34    ?????    54681.34    16.66    ???????????
54681.38    16.08    ?????    ????????    ?????    ?????    54681.35    16.64    ???????????
54681.38    16.10    ?????    ????????    ?????    ?????    54681.35    16.65    ???????????
????????    ?????    ?????    54708.29    16.32    ?????    ????????    ?????    ???????????
????????    ?????    ?????    54729.33    16.21    ?????    ????????    ?????    ???????????
????????    ?????    ?????    54729.33    16.22    ?????    ????????    ?????    ???????????
54730.30    16.05    ?????    ????????    ?????    ?????    ????????    ?????    ???????????
54730.31    16.04    ?????    ????????    ?????    ?????    ????????    ?????    ???????????
54730.31    16.05    ?????    ????????    ?????    ?????    ????????    ?????    ???????????
                                
                                
55066.31    16.11    ?????    55066.32    16.42    ?????    ????????    ?????    ???????????
????????    ?????    ?????    55066.32    16.42    ?????    ????????    ?????    ???????????
????????    ?????    ?????    55066.33    16.41    ?????    ????????    ?????    ???????????
55067.39    16.10    ?????    55067.41    16.42    ?????    55067.40    16.73    ???????????
????????    ?????    ?????    55067.41    16.42    ?????    ????????    ?????    ???????????
????????    ?????    ?????    55067.41    16.41    ?????    ????????    ?????    ???????????
55068.38    16.12    ?????    55068.40    16.41    ?????    55068.39    16.73    ???????????
55068.38    16.11    ?????    55068.40    16.41    ?????    55068.39    16.73    ???????????
55068.38    16.11    ?????    55068.40    16.40    ?????    55068.39    16.73    ???????????
55070.34    16.11    ?????    55070.35    16.41    ?????    55070.35    16.73    ???????????
????????    ?????    ?????    55070.36    16.42    ?????    55070.35    16.74    ???????????
????????    ?????    ?????    55072.34    16.41    ?????    55072.32    16.73    ???????????
????????    ?????    ?????    55072.34    16.42    ?????    55072.33    16.73    ???????????
????????    ?????    ?????    ????????    ?????    ?????    55072.33    16.74    ???????????
????????    ?????    ?????    55075.41    16.40    ?????    ????????    ?????    ???????????
55087.33    16.10    ?????    55087.32    16.41    ?????    55087.31    16.73    ???????????
55087.33    16.10    ?????    ????????    ?????    ?????    55087.31    16.73    ???????????
55088.29    16.12    ?????    55088.28    16.42    ?????    55088.28    16.73    ???????????
55088.30    16.11    ?????    55088.29    16.41    ?????    ????????    ?????    ???????????
????????    ?????    ?????    55088.29    16.42    ?????    ????????    ?????    ???????????
55090.33    16.11    ?????    ????????    ?????    ?????    55090.31    16.74    ???????????
55090.33    16.10    ?????    ????????    ?????    ?????    ????????    ?????    ???????????
????????    ?????    ?????    ????????    ?????    ?????    55092.30    16.73    ???????????
????????    ?????    ?????    ????????    ?????    ?????    55092.31    16.74    ???????????
????????    ?????    ?????    ????????    ?????    ?????    55092.31    16.73    ???????????
                                
                                
????????    ?????    ?????    ????????    ?????    ?????    55359.41    16.69    ???????????
????????    ?????    ?????    ????????    ?????    ?????    55362.41    16.70    ???????????
????????    ?????    ?????    ????????    ?????    ?????    55362.41    16.71    ???????????
????????    ?????    ?????    55364.43    16.40    ?????    ????????    ?????    ???????????
????????    ?????    ?????    55378.40    16.35    ?????    55386.40    16.69    ???????????
????????    ?????    ?????    ????????    ?????    ?????    55386.40    16.70    ???????????
????????    ?????    ?????    ????????    ?????    ?????    55386.40    16.70    ???????????
????????    ?????    ?????    55388.38    16.38    ?????    ????????    ?????    ???????????
????????    ?????    ?????    55388.38    16.38    ?????    ????????    ?????    ???????????
????????    ?????    ?????    55388.39    16.38    ?????    ????????    ?????    ???????????
????????    ?????    ?????    55388.39    16.39    ?????    ????????    ?????    ???????????
????????    ?????    ?????    55388.39    16.39    ?????    ????????    ?????    ???????????
????????    ?????    ?????    55388.40    16.39    ?????    ????????    ?????    ???????????
????????    ?????    ?????    55390.38    16.39    ?????    55390.38    16.71    ???????????
????????    ?????    ?????    55390.38    16.43    ?????    55390.38    16.70    ???????????
????????    ?????    ?????    55390.39    16.38    ?????    ????????    ?????    ???????????
????????    ?????    ?????    55392.36    16.38    ?????    55392.37    16.70    ???????????
????????    ?????    ?????    55392.36    16.38    ?????    55392.37    16.70    ???????????
????????    ?????    ?????    55392.37    16.38    ?????    ????????    ?????    ???????????
????????    ?????    ?????    55399.41    16.37    ?????    55399.43    16.68    ???????????
????????    ?????    ?????    ????????    ?????    ?????    55400.40    16.69    ???????????
????????    ?????    ?????    ????????    ?????    ?????    55400.41    16.68    ???????????
????????    ?????    ?????    55401.40    16.35    ?????    ????????    ?????    ???????????


################################# OLD B+G ################################################
